Челнок
mouse	session	trial	line
RightBackLeg	7 6	ЁИМЙН+
RightBackLeg	7 7	ЙМИЁП+
RightBackLeg	7 8 ЁИМЙН+
RightBackLeg	7 9	ЙМИЁП+
RightBackLeg	7 10 СДХЦЗЗУН+
RightBackLeg	7 6	ЙМИЁП+

RightBackLeg	8 1	ШЁИМЙН+
RightBackLeg	8 2	ЙМИЁП+
RightBackLeg	8 3	ЁИМЙН+
RightBackLeg	8 4	УЗГЦХДСП+
RightBackLeg	8 5	ЁЛИМЙН+
RightBackLeg	8 6	ЙМИЁП+
RightBackLeg	8 7	ЁИМЙН+
RightBackLeg	8 8	УЗГЦХДКЁП+
RightBackLeg	8 9	ЁИМЙН+
RightBackLeg	8 10 ЩЖВЧЮБЛЁП+

RightBackLeg	9 1	СДХЦЗУН+
RightBackLeg	9 2 ЙМИЁП+
RightBackLeg	9 3	ЁИМЙН+
RightBackLeg	9 4 ЩЖВЧЮЕШП+
RightBackLeg	9 5	ЁИМЙН+
RightBackLeg	9 6 УЗГЦФИЁП+
RightBackLeg	9 7	ЁИМЙН+
RightBackLeg	9 8 ЮБЛКАДСПШЕЮЧЖЩНЙМИЁПМЙН+

RightBackLeg	10 1	ЙМИЁП+
RightBackLeg	10 2	ЁИМЙН+
RightBackLeg	10 3	УЗГЦХДСП+
RightBackLeg	10 4	ЁЛИМЙН+
RightBackLeg	10 5	ЙМИЁП+
RightBackLeg	10 6	ЁИМЙН+
RightBackLeg	10 7	УЗГЦХДКЁП+
RightBackLeg	10 8	ЁИМЙН+
RightBackLeg	10 9	ЩЖВЧЮБЛЁП+
RightBackLeg	10 10	СДХЦЗУН+
RightBackLeg	10 11	ЙМИЁП+
RightBackLeg	10 12	ЁИМЙН+
RightBackLeg	10 13	ЩЖВЧЮЕШП+
RightBackLeg	10 14	ЁИМЙН+
RightBackLeg	10 15   УЗГЦФИЁП+
RightBackLeg	10 16	ЁИМЙН+



RightBackLeg	11 1	ЮЕШЕЮЧЖЩН+
RightBackLeg	11 2	ЙМИЁП+
RightBackLeg	11 3	СДХЦЗЗЯЭЖЩН+
RightBackLeg	11 4    ЙМИЁП+
RightBackLeg    12 1	СДКЁПШЕЮЧЖЩН+
RightBackLeg	12 2	ЙЯЗУНЙМИЁП+
RightBackLeg	12 3	ШЕЛИМЙН+
RightBackLeg	12 4	ЙМИЁП+
RightBackLeg	12 5	ЁИМЙН+
RightBackLeg	12 6    УЗЦХДСП+
RightBackLeg	12 7    ЁЛЕШПЁИМЙН+
RightBackLeg	12 8    УЗЯМИЛ

RightBackLeg	13 1	ЕШП+
RightBackLeg	13 2	ЁИМЙН+
RightBackLeg	13 3	ЙМИЁПЁИМЙННУЗЦХДСП+
RightBackLeg	13 4	ЁИМЙН+
RightBackLeg	13 5    ЙЯЗУНЙМИЁП+
RightBackLeg	13 6    ЁШЕЮЧЖЩН+
RightBackLeg	13 7    ЙМИЁП+

RightBackLeg	14 1	СДКИМЙН+
RightBackLeg	14 2	ЩЖЧЮЕШП+
RightBackLeg	14 3	ЁИМЙН+
RightBackLeg	14 4	УЗЯМИЁП+
RightBackLeg	14 5    ШПЁИМЙН+
RightBackLeg	14 6    ЙМИЁП+
RightBackLeg	14 7    СДХЦЗЗУН+
RightBackLeg	14 8    УЗГЯЙ

RightBackLeg	15 1	НЩЖВЧЮЕШП+
RightBackLeg	15 2	ЁИМЙН+
RightBackLeg	15 3	УЗГЯЦХДСП+
RightBackLeg	15 4	ЁИМЙН+
RightBackLeg	15 5	ЙМИЁП+
RightBackLeg	15 6    СДКЁШЕЮЧЖЩН+
RightBackLeg	15 7    УНЙМИЁП+
RightBackLeg	15 8    ШПШЕЮЧЖЩН+

RightBackLeg	16 1	ЙЯЗУНЙМИЁП+
RightBackLeg	16 2	ЁИМЙН+
RightBackLeg	16 3	УЗЦХДСЁП+
RightBackLeg	16 4	СДСЁИМЙН+
RightBackLeg	16 5    ЙМИЁПЁИМИОЮЛЁП+
RightBackLeg	16 6    ШЕЮЧЖЩН+

RightBackLeg	17 1	УЗГЦХДСП+
RightBackLeg	17 2	СПЁИМЙН+
RightBackLeg	17 3	ЩЖЧЮЕШП+
RightBackLeg	17 4	ЁИМЙН+
RightBackLeg	17 5	ЙНЩЖЧЮЕЕШП+
RightBackLeg	17 6    ЁИМЙН+
RightBackLeg	17 7    ЙЙНЙМИЁП+
RightBackLeg	17 8    СДКЁП+
